mean_R2,n_obs,Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type
0.36195875138541944,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,116,Kernel Ridge
0.3606303143023969,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,116,Kernel Ridge
0.35312304118693005,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,104,Kernel Ridge
0.3515211555760771,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,100,Kernel Ridge
0.34949010268064384,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,50,Kernel Ridge
0.3425116657033683,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,110,Kernel Ridge
0.3271151451988514,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,100,Kernel Ridge
0.3198617161752293,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,104,Kernel Ridge
0.31880025156436986,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,20,Kernel Ridge
0.3080957752715466,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,1,116,Kernel Ridge
0.3063262851841856,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,6,116,Kernel Ridge
0.3036134762889697,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,50,Kernel Ridge
0.2973042543397987,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,110,Kernel Ridge
0.296070404626091,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,3,116,Kernel Ridge
0.29387445655370154,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,20,Kernel Ridge
0.2890213819283259,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,116,Kernel Ridge
0.2868502145242489,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,1,50,Kernel Ridge
0.2842113355188271,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,1,104,Kernel Ridge
0.2830898564738523,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,3,104,Kernel Ridge
0.28041910168873796,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,3,100,Kernel Ridge
