Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,106,Linear,80/20,-2.5626731026009937,2.6705863322262786
Rg w/no norm,No regr out,All,ESM-6,0,106,Ridge,80/20,0.1309957420088631,1.3189538099789408
Rg w/no norm,No regr out,All,ESM-6,0,106,Lasso,80/20,0.14227425188328513,1.310366730968575
Rg w/no norm,No regr out,All,ESM-6,0,106,Kernel Ridge,80/20,-0.004394313708634856,1.417982128238093
Rg w/no norm,No regr out,All,ESM-6,0,106,GPR,80/20,-0.1346759016732042,1.5071433103369314
Rg w/no norm,No regr out,All,ESM-6,0,112,Linear,85/15,-2.398179752727472,2.612445706820647
Rg w/no norm,No regr out,All,ESM-6,0,112,Ridge,85/15,0.31135374139949745,1.1760402769504295
Rg w/no norm,No regr out,All,ESM-6,0,112,Lasso,85/15,0.34927134498420076,1.143204868369526
Rg w/no norm,No regr out,All,ESM-6,0,112,Kernel Ridge,85/15,0.22164700038635077,1.2502947317731115
Rg w/no norm,No regr out,All,ESM-6,0,112,GPR,85/15,0.18043778498402563,1.2829657519856281
Rg w/no norm,No regr out,All,ESM-6,0,120,Linear,90/10,-1.912443728854032,2.410341213573301
Rg w/no norm,No regr out,All,ESM-6,0,120,Ridge,90/10,0.28683729764070176,1.192735281696878
Rg w/no norm,No regr out,All,ESM-6,0,120,Lasso,90/10,0.31734030311374684,1.1669490287829858
Rg w/no norm,No regr out,All,ESM-6,0,120,Kernel Ridge,90/10,0.1914107972878868,1.270029252083363
Rg w/no norm,No regr out,All,ESM-6,0,120,GPR,90/10,-0.011236505235844074,1.4202870415736786
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Linear,80/20,-0.017784777193993184,1.4237479847390038
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Ridge,80/20,0.303789569948154,1.1775392973765968
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Lasso,80/20,0.2923551462030797,1.1871697536283512
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Kernel Ridge,80/20,0.28306702653662186,1.1949353921092534
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,GPR,80/20,0.30537603888609155,1.1761968907648073
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Linear,85/15,-0.14335215290636505,1.5927517774472855
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Ridge,85/15,0.27134248392404803,1.271510105008274
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Lasso,85/15,0.29358983114555104,1.2519487839040078
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Kernel Ridge,85/15,0.2420177432362305,1.2968436243415076
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,GPR,85/15,0.24368916546191077,1.2954130041108551
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Linear,90/10,-0.49598586816312906,1.902922496694239
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Ridge,90/10,0.2464680121907027,1.3505423321161656
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Lasso,90/10,0.269891147940333,1.329386187117064
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Kernel Ridge,90/10,0.21768576195826816,1.3760935910068326
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,GPR,90/10,0.15925480198273967,1.426558391258928
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,80/20,-2.97086440057039,2.8194290027376465
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,80/20,0.13099574200886277,1.3189538099789413
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,80/20,0.14227425188328513,1.310366730968575
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,80/20,-0.004394313708694586,1.4179821282381353
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,80/20,-0.13467590167321575,1.5071433103369392
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,85/15,-3.169305644071394,2.8937164046319537
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,85/15,0.31135374139949656,1.1760402769504301
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,85/15,0.34927134498420076,1.143204868369526
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,85/15,0.22164700038634866,1.2502947317731132
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,85/15,0.18043778498401863,1.2829657519856335
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-2.5928379574376255,2.6771245103449384
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,0.28683729764070154,1.192735281696878
