Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-744579517.0618496,70566.63283800814
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.3271664512720383,1.9564670139231357
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.3036371912133051,2.082742217124165
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.3247470904144837,1.9577413549092952
Rg w/no norm,No regr out,All,-1,GPR,80/20,-0.6197070898790895,3.1727409822874706
Rg w/no norm,No regr out,All,-1,Linear,85/15,-648374726.8985894,68479.00494220719
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.3651835189262868,1.6656416238201417
Rg w/no norm,No regr out,All,-1,Lasso,85/15,0.3030184044280062,1.7152467873824393
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.3559012224085759,1.4873273664522006
Rg w/no norm,No regr out,All,-1,GPR,85/15,-0.4430283329793754,2.8980180441030874
Rg w/no norm,No regr out,All,-1,Linear,90/10,-3857679492.0298543,79990.51357145711
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.6925373479350372,1.154395556144183
Rg w/no norm,No regr out,All,-1,Lasso,90/10,0.1242528480725768,1.3684457033396522
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.7684100660054772,1.3489163407395945
Rg w/no norm,No regr out,All,-1,GPR,90/10,-5.001812631357863,3.3106046236526496
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-1129346630.0006828,9478.047087732502
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,0.267936517453228,0.2128834154749401
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,0.2095587539582175,0.2199028301180835
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,0.29768197623305,0.2112555901502132
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.7357153317056431,0.37065156047984127
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-931349949.9182004,9192.30601636791
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,0.119286236385782,0.14595106590723744
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,0.2201321783816805,0.14306198463701006
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,0.2886399641719613,0.1315159725774974
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-0.4568928663126472,0.3202759077176216
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-19552271655.764545,10716.173829161264
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,-0.3913761184826345,0.097054643502742
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-0.6667594908160908,0.109060500173917
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,-0.1490582377977629,0.08517665720781258
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-21.65905515150204,0.359913012434974
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-1122355196.5437312,9888.984009240838
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,0.2679937377178514,0.2225038329763871
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,0.2227097917150944,0.22986416225918943
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.297982287854618,0.22081769491966177
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.7303542016830913,0.3871638606971026
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-926144171.3675524,9590.936313750095
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,0.1199452416507573,0.1533430318672574
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,0.2334045563104738,0.14990891286492192
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.2890537148213127,0.13776183725298022
