Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,80/20,-7.933876393021061,3.2993409678639423
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,80/20,-1.2725305179443769,1.6741729883685426
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,80/20,-0.7165917818947394,1.4462412503468187
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,80/20,-0.15373664084127747,1.1928856418395235
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,80/20,-0.3081779038923169,1.2702197854665964
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,80/20,-0.6174603910810808,1.4038608315526886
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,80/20,-0.27530661135135115,1.2541595055716301
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,80/20,-0.46105140690392976,1.3342585006473775
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,80/20,-7.175481504932716,3.1754270407353125
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,85/15,-6.9519094055689585,3.26391388197614
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,85/15,-1.422713553549979,1.7949798392740943
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,85/15,-0.7188083153267852,1.5174580806677955
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,85/15,-0.24434895466704964,1.2864106718457111
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,85/15,-0.7997003013351662,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,85/15,-0.4072318201723475,1.3680165895899192
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,85/15,-0.5925788535965117,1.4606745150770848
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,85/15,-0.4187824809721523,1.3736195054733862
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,85/15,-0.5564186533054603,1.4439966748334128
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,85/15,-7.0857756368269715,3.2792111636534584
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,90/10,-4.098787513179738,2.637155238597574
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,90/10,-0.7529918079286257,1.7119215495273674
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,90/10,-0.5388453952206145,1.4487709647509595
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,90/10,0.038083900656175285,1.2681263078814315
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,90/10,-0.4671998797006096,1.4146430825861065
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,90/10,-0.9947022737620732,1.6494580708534865
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,90/10,0.015102272031354613,1.2831856179113088
