Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.40516931871981343,2.0491200374350553
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5145755316866378,0.7988022080324705
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.32644176875356956,2.180511057689554
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5519440551267625,0.7674402039161726
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.25632673517306104,2.29119368636036
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5936223813247159,0.7308753509916974
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-0.005123424923981101,2.6636699836416886
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-6.105600583944245,3.056179235097355
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.6197070299728693,3.3813408640451503
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-5.739676358029621,2.9764455757023702
Rg w/no norm,No regr out,All,1,Linear,85/15,0.4093626747639939,2.2252536535798515
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.41823547576193587,0.8538868274566771
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.2820520577074612,2.453384154423768
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5256383743500068,0.7710480994103814
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.1983099675823835,2.592521223555637
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5017339699251511,0.7902369569272383
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.3076471369617523,2.4092553089626314
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-6.087704618965072,2.980433948825497
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.4430282650073041,3.4782155899753624
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-9.750146905214821,3.6705732575983294
