Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.4965364306771778,1.1437588403580015
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5207050527546142,1.0235058970255337
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.5808870828817909,1.0435564859274444
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5130739707491638,1.0316215823995791
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.621270983956063,0.9920069809930872
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5034246460553294,1.0417931662771043
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.5820819045768675,1.042067920676655
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.524213987678326,1.0197524535572413
Rg w/no norm,No regr out,All,1,GPR,80/20,-1.1431574692755397,2.359812404562214
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.1246792888103847,1.5678455320299516
Rg w/no norm,No regr out,All,1,Linear,85/15,0.4393313358210267,1.2675510072631582
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.4470645224435369,1.1324753428632877
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.5337675566170881,1.1558821265993093
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.45231259704035476,1.1270881999808027
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.5833653142163513,1.0926725030701434
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.4477744567631583,1.1317480958549226
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.4975288058608327,1.1999630892774995
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.4562032771871004,1.1230777413959483
Rg w/no norm,No regr out,All,1,GPR,85/15,-1.1262512984093949,2.4684230808998255
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.0815984130063867,1.583888288617138
Rg w/no norm,No regr out,All,1,Linear,90/10,0.4667308237301978,1.3933305360635073
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.41641882502044836,1.257352751643778
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.5498790212482956,1.2801048459730615
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.41702658230800926,1.2566978604393417
