Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.48534357277362306,1.8439314705270773
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.7082993082723165,0.9542140831320114
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.41022454618108817,1.9739194339843944
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.7077364022198316,0.9551343312085738
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.4032305913341675,1.9855889731784828
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.7078485594275491,0.9549510455038368
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.4051723287081914,1.9823560379982323
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.7153942521893619,0.9425381243378721
Rg w/no norm,No regr out,All,1,GPR,80/20,-2.296478839787488,4.666714390862414
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.5287773811559435,2.184485753586576
Rg w/no norm,No regr out,All,1,Linear,85/15,0.46386096299853385,2.0733398202365056
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.760006988843299,0.8253839624456355
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.38005148931920174,2.2295108197070626
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.7581135332175304,0.8286335518132667
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.3724166883522225,2.2431972664809248
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.755974555695936,0.8322892491381616
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.3744471045136549,2.239565626062751
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.7784585545254117,0.7930201475738056
Rg w/no norm,No regr out,All,1,GPR,85/15,0.049969143599952415,2.759946282401559
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-4.45220882161828,3.934078026679187
Rg w/no norm,No regr out,All,1,Linear,90/10,0.4879783588515597,1.1150523772215035
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7874385090413172,0.656598731179261
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.6527324497241733,0.9182970961609849
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.7851856682003028,0.6600690533255213
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.6732235939437168,0.8907923019461315
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.7828815697634253,0.6635995617191408
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.6437248212335461,0.9301305150206111
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.8257865033182474,0.5944271594337588
Rg w/no norm,No regr out,All,1,GPR,90/10,-3.454309921267689,3.2888292386346634
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,0.16402066616492295,1.3021335116703556
Rg norm w/0.421,No regr out,All,1,Linear,80/20,0.03433961419617115,0.13723706266752445
Rg norm w/0.421,No regr out,Inliers,1,Linear,80/20,0.39010952152677847,0.08954000764652867
Rg norm w/0.421,No regr out,All,1,Ridge,80/20,0.02669238777394911,0.13777939273302903
Rg norm w/0.421,No regr out,Inliers,1,Ridge,80/20,0.22941524489172338,0.10064713270049279
Rg norm w/0.421,No regr out,All,1,Lasso,80/20,-0.0025840957360709904,0.13983619938967265
Rg norm w/0.421,No regr out,Inliers,1,Lasso,80/20,0.37670855383457014,0.09051838231285651
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,80/20,-0.0074668417801080356,0.14017629821662483
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,80/20,0.37554083801803595,0.09060313422742454
Rg norm w/0.421,No regr out,All,1,GPR,80/20,-4.282308473094801,0.32097491010259754
Rg norm w/0.421,No regr out,Inliers,1,GPR,80/20,-2.150856907182549,0.2035192721535698
Rg norm w/0.421,No regr out,All,1,Linear,85/15,0.08186684673444011,0.1469573367003774
Rg norm w/0.421,No regr out,Inliers,1,Linear,85/15,0.4109678078174417,0.0888233050740861
Rg norm w/0.421,No regr out,All,1,Ridge,85/15,0.07824859442777943,0.14724662256299628
Rg norm w/0.421,No regr out,Inliers,1,Ridge,85/15,0.24631688395193319,0.10047356376419332
Rg norm w/0.421,No regr out,All,1,Lasso,85/15,0.0419411543530821,0.15011860855097553
Rg norm w/0.421,No regr out,Inliers,1,Lasso,85/15,0.24314875078248777,0.10068451437053136
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,85/15,-0.03230828642654626,0.15582715602678301
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,85/15,0.4684738124352833,0.08437615812262139
Rg norm w/0.421,No regr out,All,1,GPR,85/15,-4.147004519549564,0.34794909605940455
Rg norm w/0.421,No regr out,Inliers,1,GPR,85/15,-1.4312087904114805,0.18045484311358215
Rg norm w/0.421,No regr out,All,1,Linear,90/10,-0.5310708379329183,0.12803400859476735
Rg norm w/0.421,No regr out,Inliers,1,Linear,90/10,0.39391592647396556,0.08063173167616985
Rg norm w/0.421,No regr out,All,1,Ridge,90/10,-0.10391417689935634,0.10871647338249266
Rg norm w/0.421,No regr out,Inliers,1,Ridge,90/10,0.3431814288501237,0.08393870465061325
Rg norm w/0.421,No regr out,All,1,Lasso,90/10,-0.20863068858085243,0.11375605152955537
Rg norm w/0.421,No regr out,Inliers,1,Lasso,90/10,0.3774314087664451,0.08172090252186653
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,90/10,0.014253779490137952,0.10273306869734072
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,90/10,0.4911991393576658,0.07387771757971708
Rg norm w/0.421,No regr out,All,1,GPR,90/10,-14.058117490597173,0.40152541656682167
Rg norm w/0.421,No regr out,Inliers,1,GPR,90/10,-1.2353219761746739,0.15484942424559633
Rg norm w/0.5,No regr out,All,1,Linear,80/20,0.045993282412620684,0.14919103268682887
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.44739917359428627,0.05938411395673501
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,0.0261437692518528,0.15073511177844617
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.2823089164557039,0.06767578331959591
Rg norm w/0.5,No regr out,All,1,Lasso,80/20,-0.002743349666177952,0.1529543732911737
Rg norm w/0.5,No regr out,Inliers,1,Lasso,80/20,0.42853703283961886,0.06038910064075621
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,80/20,-0.005611376803534851,0.1531729556767994
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,80/20,0.4265395700001883,0.06049454908497336
Rg norm w/0.5,No regr out,All,1,GPR,80/20,-4.0641981234382,0.3437338858478867
Rg norm w/0.5,No regr out,Inliers,1,GPR,80/20,-1.944930217811069,0.1370888142713584
Rg norm w/0.5,No regr out,All,1,Linear,85/15,0.0893754362472674,0.16004537072506503
Rg norm w/0.5,No regr out,Inliers,1,Linear,85/15,0.4808334644460305,0.05981032104192934
Rg norm w/0.5,No regr out,All,1,Ridge,85/15,0.07817636008397533,0.16102650130160032
Rg norm w/0.5,No regr out,Inliers,1,Ridge,85/15,0.3071251773924296,0.069095565932984
Rg norm w/0.5,No regr out,All,1,Lasso,85/15,0.042148425760353825,0.16414306738428278
