Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-1.474279222177279,2.273995930484055
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.5601905029138032,0.9587328993355749
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.3908753233748009,1.1282839907846665
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.5724044799738104,0.94532665189683
Rg w/no norm,No regr out,All,-1,GPR,80/20,-0.6530060708877523,1.858671130390035
Rg w/no norm,No regr out,All,-1,Linear,85/15,-1.843813786512408,2.571335674305906
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.5804483632229587,0.9876450863458718
Rg w/no norm,No regr out,All,-1,Lasso,85/15,0.3519268578520097,1.2274963497174038
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.6032566509384183,0.9604240464002851
Rg w/no norm,No regr out,All,-1,GPR,85/15,-0.797708189979417,2.0444090559118324
Rg w/no norm,No regr out,All,-1,Linear,90/10,-0.21614862597802964,1.6676860553556987
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.8782557484615457,0.5276491011321609
Rg w/no norm,No regr out,All,-1,Lasso,90/10,0.7934311267606753,0.6873111840885997
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.8760418162517045,0.5324251632734188
Rg w/no norm,No regr out,All,-1,GPR,90/10,0.14355723210872862,1.399491109231202
Rg norm w/0.421,No regr out,All,-1,Linear,80/20,-5.319010410553719,0.28418689545465503
Rg norm w/0.421,No regr out,All,-1,Ridge,80/20,-0.05037377455374403,0.11586478155841357
Rg norm w/0.421,No regr out,All,-1,Lasso,80/20,-0.13575108711936967,0.1204817016750777
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,80/20,-0.040772642073817256,0.11533402435137396
Rg norm w/0.421,No regr out,All,-1,GPR,80/20,-3.211817913208617,0.2320140611161659
Rg norm w/0.421,No regr out,All,-1,Linear,85/15,-6.851347596898838,0.32694346666873925
Rg norm w/0.421,No regr out,All,-1,Ridge,85/15,-0.012135540389200061,0.1173869715028542
Rg norm w/0.421,No regr out,All,-1,Lasso,85/15,-0.06519885392633995,0.12042479231745486
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,85/15,0.07116207470094549,0.11245286656537826
Rg norm w/0.421,No regr out,All,-1,GPR,85/15,-3.3617305566728533,0.24368566243610862
Rg norm w/0.421,No regr out,All,-1,Linear,90/10,-2.633898100327828,0.230718174801745
Rg norm w/0.421,No regr out,All,-1,Ridge,90/10,0.05465805729900064,0.11767654214340782
Rg norm w/0.421,No regr out,All,-1,Lasso,90/10,-0.015476718983673088,0.12196365210375268
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,90/10,0.20668203715205435,0.10780007894963381
Rg norm w/0.421,No regr out,All,-1,GPR,90/10,-1.1287896199573253,0.17658825170043538
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-5.386545108546351,0.30530832075426345
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,-0.04749570032157768,0.12364648449672402
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.13110655861250975,0.1284864733349868
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,-0.04037859800887467,0.12322571687178475
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-3.2674671726456843,0.2495690598943222
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-6.966555651079052,0.35114248673861415
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,-0.01388026991123037,0.12526836791456844
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,-0.062035346046758866,0.12820872130001215
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.0673568388092437,0.12014503777077527
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-3.4431773212292613,0.26223756651402286
