Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-0.5007466170262052,1.5440984478519748
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.3310107734417493,0.8518160610699926
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.1283829223089921,1.1767498870906343
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.3743221505012569,0.8237807754257461
Rg w/no norm,No regr out,All,-1,GPR,80/20,0.4588959818096262,0.7660844409963875
Rg w/no norm,No regr out,All,-1,Linear,85/15,-0.7799351787256292,1.65710652533099
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.1799029854674665,0.9006895619088231
Rg w/no norm,No regr out,All,-1,Lasso,85/15,0.0249663993229658,1.226473376605739
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.2566125972348335,0.8575315609775478
Rg w/no norm,No regr out,All,-1,GPR,85/15,0.4065874956496077,0.7661624462135298
Rg w/no norm,No regr out,All,-1,Linear,90/10,-5613817835.502002,69743.05647307767
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.2978023619838483,0.7800123885572593
Rg w/no norm,No regr out,All,-1,Lasso,90/10,0.5914388298116868,0.9353935028906752
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.3961192828806009,0.7233481904251103
Rg w/no norm,No regr out,All,-1,GPR,90/10,-7.294789808656166,2.6808623220098977
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-2.7662314893639266,0.1993479192996001
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,-0.0052463884352875,0.0916649274060059
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,-0.3353993395247743,0.1056507335185258
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,0.0805569872523102,0.0876656276395911
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.6424188413485397,0.1171679677731967
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-3.172953242314371,0.2141215814541161
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,0.2265761920885047,0.0921822812295237
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,-0.0413480185082957,0.1069637525342767
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,0.2591985323690905,0.0902172531791036
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-0.2910658115708968,0.113561893793764
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-12221061275.341118,9327.688819940357
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,0.2254987075727524,0.0707424338591926
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-0.2620840030863487,0.0903052616042362
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,0.2397478837315516,0.0700886577321329
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-13.892421686086053,0.3256133862920528
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-2.783766129157244,0.2080913369031491
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,0.1976625057600961,0.0958231408017986
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.3519423581189336,0.1106469135928891
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.0810044392054066,0.0912256409231599
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.6369400122400364,0.1217521386819933
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-3.193684868178095,0.2235648984265613
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,0.2206022007362387,0.0963796418183343
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,-0.042267254271944,0.11145389927085
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.261842085089137,0.0937951453646201
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-0.2862803381132826,0.1178882910620316
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-12355732045.867369,9732.409076054955
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,0.217949417941518,0.0743457722244798
Rg norm w/0.5,No regr out,All,-1,Lasso,90/10,-0.2810868634747676,0.0951542397931446
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,90/10,0.2405181677627347,0.0732651679880103
Rg norm w/0.5,No regr out,All,-1,GPR,90/10,-14.045921746918584,0.3396217642823045
Rg norm w/0.418,No regr out,All,-1,Linear,80/20,-2.476780654607336,0.1409720715168462
Rg norm w/0.418,No regr out,All,-1,Ridge,80/20,0.0999768992215739,0.0644781171058266
Rg norm w/0.418,No regr out,All,-1,Lasso,80/20,-0.1746225148676328,0.0736605027893506
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,80/20,0.0852918139595582,0.0650020122637824
Rg norm w/0.418,No regr out,All,-1,GPR,80/20,-0.6140342921824609,0.0863459351140346
Rg norm w/0.418,No regr out,All,-1,Linear,85/15,-2.8324472897404,0.151086041775064
Rg norm w/0.418,No regr out,All,-1,Ridge,85/15,0.2843907859699049,0.0652866237837853
