Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-0.4793680101761335,3.3799109141870693
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.0697611890920169,2.3792031491777363
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.0616285102701252,2.4887587366057056
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.1148203831611655,2.3562048853434523
Rg w/no norm,No regr out,All,-1,GPR,80/20,0.2060159437382208,2.581279009217217
Rg w/no norm,No regr out,All,-1,Linear,85/15,-0.5082116407244559,3.6392937276983033
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.0244757447089322,2.651096302717096
Rg w/no norm,No regr out,All,-1,Lasso,85/15,0.0518260474711036,2.739995267882349
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.0738058183938648,2.6292049012243206
Rg w/no norm,No regr out,All,-1,GPR,85/15,0.1753965078149452,2.8573853712188684
Rg w/no norm,No regr out,All,-1,Linear,90/10,-0.0007376590178733,3.8630532739055665
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.115014139666031,3.034041481598622
Rg w/no norm,No regr out,All,-1,Lasso,90/10,0.0946201120757114,3.180628086775345
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.1187603730256557,3.0267154043249374
Rg w/no norm,No regr out,All,-1,GPR,90/10,0.2266935861800241,3.2399451879888006
Rg norm w/0.421,No regr out,All,-1,Linear,80/20,-0.5694976867903649,0.43417445646655733
Rg norm w/0.421,No regr out,All,-1,Ridge,80/20,0.0529861475628079,0.3095136920821636
Rg norm w/0.421,No regr out,All,-1,Lasso,80/20,-0.0003942914490446,0.32200522502840523
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,80/20,0.0819632252671197,0.30827563342487574
Rg norm w/0.421,No regr out,All,-1,GPR,80/20,-0.0866519426177081,0.3528788524371946
Rg norm w/0.421,No regr out,All,-1,Linear,85/15,-0.4246833253766173,0.4658739836645737
Rg norm w/0.421,No regr out,All,-1,Ridge,85/15,0.0634265115383144,0.34772305941469545
Rg norm w/0.421,No regr out,All,-1,Lasso,85/15,0.0456148360335855,0.3588441103616626
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,85/15,0.0668675837328686,0.3459447889530781
Rg norm w/0.421,No regr out,All,-1,GPR,85/15,0.0271929836504259,0.3834805688072785
Rg norm w/0.421,No regr out,All,-1,Linear,90/10,-0.0595646280005082,0.5100308710833485
Rg norm w/0.421,No regr out,All,-1,Ridge,90/10,0.0473807527544876,0.41342996330314136
Rg norm w/0.421,No regr out,All,-1,Lasso,90/10,0.0198028478081981,0.4246548784822964
Rg norm w/0.421,No regr out,All,-1,Kernel Ridge,90/10,0.0741036289040629,0.4098525436421099
Rg norm w/0.421,No regr out,All,-1,GPR,90/10,0.0923012524168989,0.43703346931124054
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-0.5700867461045673,0.46628867936870844
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,0.0530772372491827,0.33190472788677167
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.000392603979459,0.3459991879069274
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.0829494839681791,0.3305199155687774
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.078364085551418,0.3781646864218807
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-0.4283649907335058,0.5003652235182816
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,0.0626275391167004,0.3728828686920778
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,0.0525781352089664,0.3855694273283468
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.0662358010727769,0.3709684757694156
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,0.03241060153934,0.4111285702667251
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-0.0588297738963741,0.5473511261615297
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,0.0479015760623319,0.4431494360045022
