Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.2722653400889099,2.266507963332919
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.45852558692954726,0.8436598753857029
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.26088456781435676,2.284161749291067
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.46821154560844136,0.8360800812829626
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.24104484956408678,2.314615066485356
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.46279573508298066,0.8403266769151844
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.322244275360248,2.187294781152371
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.5471483132280952,0.7715363990212434
Rg w/no norm,No regr out,All,1,GPR,80/20,0.32316727245613464,2.1858048973558253
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.6238988062020074,1.461025870665666
Rg w/no norm,No regr out,All,1,Linear,85/15,0.2223779807242785,2.5533088659430145
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.4708403132649289,0.8143668222623045
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.20494842020459303,2.581765130339722
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.4845317835048397,0.8037623197201216
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.16754538484472847,2.6417965040125018
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.4769700581886531,0.8096363016891025
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.17628692929651335,2.62788924285918
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.46288020005229114,0.8204691909330367
Rg w/no norm,No regr out,All,1,GPR,85/15,0.45338178696079634,2.140726215322065
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.8015540885611461,1.5026240978747356
Rg w/no norm,No regr out,All,1,Linear,90/10,0.36869536694806015,0.9914075028376796
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.3731880734641422,0.8253065550629695
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.5133211526340311,0.870470281134367
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.3892643528414027,0.8146542050998863
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.5029474498151856,0.879698529791105
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.401418205567895,0.806507519320176
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.5196314901811533,0.8648085564573805
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.419325281702689,0.7943522460121933
Rg w/no norm,No regr out,All,1,GPR,90/10,0.05533360559191891,1.212751850555771
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-0.6598973416229625,1.3430348542950772
Rg norm w/0.427,No regr out,All,1,Linear,80/20,0.09661847644096255,0.27387478477914406
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,-0.04096627809982234,0.0982997517738564
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,0.022665873563445404,0.2848642695257555
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,-0.04080700989709829,0.09829223153808471
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,0.07580782077061166,0.27701136790915865
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,-0.02740431407328625,0.09765731582072702
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,0.10438935893328061,0.27269430604364975
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,0.16892751963612573,0.08783215561332218
Rg norm w/0.427,No regr out,All,1,GPR,80/20,0.18208395552873657,0.26059783964741645
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-1.5672559925744705,0.15437205263397727
Rg norm w/0.427,No regr out,All,1,Linear,85/15,0.10263691290815946,0.30535847541235733
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,-0.3500883045375702,0.09246981083770078
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,0.01957024592337886,0.31917886020731384
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,-0.34071177201900005,0.09214814414670441
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,0.013682343773192773,0.320135828739756
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,-0.31641190911723394,0.0913092515484046
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,0.02861456154636255,0.3177032610158489
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-0.17700453220324985,0.08633918587931336
Rg norm w/0.427,No regr out,All,1,GPR,85/15,0.3275015609111033,0.26434525454609964
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-2.8450157528014297,0.15605149849649164
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-1.650022197915511,0.12008140385411704
