Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-592850416.480172,65610.68117307
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.38128674003559204,2.1195647755568716
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.3162132006796732,2.2282419069123787
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.4065628560228789,2.07581833957614
Rg w/no norm,No regr out,All,-1,GPR,80/20,-0.8278028882950133,3.6430628292156886
Rg w/no norm,No regr out,All,-1,Linear,85/15,-563787038.384018,68972.5401609311
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.3323212777180571,2.3735721900715623
Rg w/no norm,No regr out,All,-1,Lasso,85/15,0.2666213981201173,2.4876128635280446
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.3288146867410544,2.37979692589017
Rg w/no norm,No regr out,All,-1,GPR,85/15,-0.3577237442121919,3.3847327483141307
Rg w/no norm,No regr out,All,-1,Linear,90/10,-5613817835.502002,69743.05647307767
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.29780236198384835,0.7800123885572593
Rg w/no norm,No regr out,All,-1,Lasso,90/10,-0.055035482253160906,0.9561044756283864
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.39611928288060094,0.7233481904251103
Rg w/no norm,No regr out,All,-1,GPR,90/10,-7.294789808656166,2.6808623220098977
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-883347815.2276537,8775.012497342093
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,0.3085154969554642,0.24551221220058833
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,0.2636138570649602,0.2533580323616691
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,0.30172061168093955,0.24671552847463327
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.709494610418947,0.38602527564332517
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-775753306.2980108,9224.634381242726
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,0.304892222662566,0.27612988870072674
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,0.2423609615401393,0.28828265697372585
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,0.2941863055151325,0.278248213247828
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-0.358113378350321,0.3859716066076864
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-12221061275.341118,9327.688819940355
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,-0.28072858768460685,0.09548785556948428
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-1.0717491760508713,0.12144738716488554
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,-0.15702246390883534,0.09075916337393285
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-13.892421686086053,0.32561338629205283
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-879065491.6634612,9155.752478017068
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,0.30835294288084614,0.2568181384850968
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,0.2815060501806391,0.2617549990895583
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.3015934096471976,0.2580700413684532
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.710763808080044,0.4039042788752877
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-772007511.2852157,9624.883232124756
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,0.30451230542561947,0.28888795285456015
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,0.25896628249590015,0.2981972889442313
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.2938222073551664,0.29109968416233556
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-0.35603648588662984,0.40338560269014434
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-12355732045.867369,9732.409076054957
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,-0.30776467192240364,0.10012693334178686
Rg norm w/0.5,No regr out,All,-1,Lasso,90/10,-1.121255150892725,0.12752125239695777
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,90/10,-0.17502418546401977,0.09490946323914254
Rg norm w/0.5,No regr out,All,-1,GPR,90/10,-14.045921746918584,0.33962176428230456
Rg norm w/0.418,No regr out,All,-1,Linear,80/20,-913402836.2247456,6227.494672906577
Rg norm w/0.418,No regr out,All,-1,Ridge,80/20,0.31345738884867447,0.17073239607124763
Rg norm w/0.418,No regr out,All,-1,Lasso,80/20,0.1197209920205351,0.19332693212330396
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,80/20,0.30276396854258336,0.17205690154102748
Rg norm w/0.418,No regr out,All,-1,GPR,80/20,-0.7013590640567378,0.2687696192923874
Rg norm w/0.418,No regr out,All,-1,Linear,85/15,-803763472.5338756,6546.583576872375
Rg norm w/0.418,No regr out,All,-1,Ridge,85/15,0.3103639598019432,0.19176112035524137
Rg norm w/0.418,No regr out,All,-1,Lasso,85/15,0.1052261526105549,0.21842745448115644
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,85/15,0.2995888301073668,0.19325338750558502
Rg norm w/0.418,No regr out,All,-1,GPR,85/15,-0.37794797957797077,0.27106097415826597
Rg norm w/0.418,No regr out,All,-1,Linear,90/10,-10633504454.72736,6619.71993250349
Rg norm w/0.418,No regr out,All,-1,Ridge,90/10,-0.04284698323759817,0.06555588754181246
Rg norm w/0.418,No regr out,All,-1,Lasso,90/10,-0.6960247729058204,0.08360216084937196
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,90/10,-0.006242396011934215,0.06439508380433763
Rg norm w/0.418,No regr out,All,-1,GPR,90/10,-12.143499837996519,0.2327324380162851
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-593758855.5167859,65659.85327587587
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,0.3812948145738392,2.1195161766360457
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,0.31621581755944383,2.228201092125176
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,0.37369130571174847,2.1325001867311695
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.49757360976131504,1.9099899366884765
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-564650456.6987377,69023.7377488994
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,0.3323319560084883,2.373498307328525
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,0.2666127509849898,2.487569988139932
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.32388158941326584,2.3884712168600437
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.5499437927204381,1.9486866462625712
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-5620785172.835925,69791.32004164648
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,0.29814591242849353,0.7798774016156127
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,-0.054516327051212565,0.9559376645137007
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.48104003975030063,0.6706097217966893
Rg w/no norm,pH regr out,All,-1,GPR,90/10,-0.72600931725186,1.222994452667687
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-885172676.1021978,8783.683066753307
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,0.30850831205664675,0.245502624485027
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,0.2636049518770325,0.25334835391904736
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.8769659117101992,0.10355602814423177
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.5814055316829126,0.19101144921663754
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-777359333.3418852,9233.679999967197
