Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,-3.2099115379354046,13124.143465675588
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.3310107734417493,2.2217817022882764
Rg w/no norm,No regr out,All,-1,Lasso,80/20,-0.4291193281425518,2.389627132994167
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.3743221505012569,2.202217151467061
Rg w/no norm,No regr out,All,-1,GPR,80/20,0.4588959818096262,2.3034348852148043
Rg w/no norm,No regr out,All,-1,Linear,85/15,-3.755780007447062,49502.84309053626
Rg w/no norm,No regr out,All,-1,Ridge,85/15,0.1799029854674665,2.47354788047199
Rg w/no norm,No regr out,All,-1,Lasso,85/15,-0.6449457455627878,2.648308458975654
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.2566125972348335,2.4584125807180337
Rg w/no norm,No regr out,All,-1,GPR,85/15,0.4065874956496077,2.9891085871940715
Rg w/no norm,No regr out,All,-1,Linear,90/10,-9582362491.655651,87591.3454761081
Rg w/no norm,No regr out,All,-1,Ridge,90/10,-0.0001393958165132,1.6796396796731414
Rg w/no norm,No regr out,All,-1,Lasso,90/10,-0.8052244385052278,1.834598404719425
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.1831268389885392,1.6344280269792286
Rg w/no norm,No regr out,All,-1,GPR,90/10,-10.397324147381244,3.930871708664172
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-7.738974363557846,1755.2584585875738
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,-0.0052463884352875,0.26939560320710826
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,-0.3353993395247743,0.2803736581604698
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,0.0805569872523102,0.27030288729633595
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.6424188413485397,0.28108896997166055
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-7.243149204194058,6620.681213080386
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,0.0915768118946417,0.3006018184848767
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,-0.1977199256701864,0.30562926162059967
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,0.1230547562523691,0.2969847042216623
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-0.2910658115708968,0.3507856257066507
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-20463089085.38746,11714.756602683547
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,0.2254987075727524,0.2058264942348201
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-0.2620840030863487,0.22280544034958108
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,0.2397478837315516,0.20185184165708586
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-21.220022071261923,0.4636943921292017
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-7.797876495803418,1831.417726113549
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,-0.0159184243743744,0.28149359230167165
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.3519423581189336,0.29233940387365476
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.0810044392054066,0.2822611450088805
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.6369400122400364,0.2934880848452218
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-7.30404292729175,6907.94686427055
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,0.0827131663529541,0.3140699409144702
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,-0.2135640120251241,0.3183096932873072
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.1236447508192882,0.3100964020544146
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-0.2862803381132826,0.3663596652942208
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-20366854751.09548,12223.049931333124
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,0.217949417941518,0.21490048287385824
Rg norm w/0.5,No regr out,All,-1,Lasso,90/10,-0.2810868634747676,0.23282525805894744
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,90/10,0.2405181677627347,0.21042016901650804
Rg norm w/0.5,No regr out,All,-1,GPR,90/10,-21.124460667886943,0.4842698541857732
Rg norm w/0.418,No regr out,All,-1,Linear,80/20,-6.849819148582547,1245.6797486922515
Rg norm w/0.418,No regr out,All,-1,Ridge,80/20,0.0999768992215739,0.18935982370512755
Rg norm w/0.418,No regr out,All,-1,Lasso,80/20,-0.1746225148676328,0.1997379175560447
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,80/20,0.0852918139595582,0.19125642176443403
Rg norm w/0.418,No regr out,All,-1,GPR,80/20,-0.6140342921824609,0.19877459904060837
Rg norm w/0.418,No regr out,All,-1,Linear,85/15,-6.469992487443422,4698.597088311516
Rg norm w/0.418,No regr out,All,-1,Ridge,85/15,0.1729411085217318,0.2082818555723714
Rg norm w/0.418,No regr out,All,-1,Lasso,85/15,-0.0937750349281638,0.22194306577423747
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,85/15,0.1242558043728225,0.21000319849456414
Rg norm w/0.418,No regr out,All,-1,GPR,85/15,-0.2837034397132374,0.24764735785887723
Rg norm w/0.418,No regr out,All,-1,Linear,90/10,-20289568217.4533,8313.784519229139
Rg norm w/0.418,No regr out,All,-1,Ridge,90/10,0.2964647062083348,0.1457976384511235
Rg norm w/0.418,No regr out,All,-1,Lasso,90/10,-0.1302296322881333,0.1574036558606465
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,90/10,0.232510480770983,0.14518661651325876
Rg norm w/0.418,No regr out,All,-1,GPR,90/10,-21.029076756733403,0.32744517113733396
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-822.2710567364579,13156.382150826354
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,0.3310104740793704,2.221754411458479
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,-0.4292711913692022,2.3896186549373266
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,0.572102396301468,2.1832214533537018
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.0280150301713433,1.926999876186154
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-939.8766098773966,49543.38674948249
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,0.1799574589002736,2.473495184101508
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,-0.6450542372209835,2.6482748757389913
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,-0.1293591995878973,2.4932716651321756
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.0272548136478061,2.0208355796900155
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-9592837060.222715,87645.23256241131
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,-2.1244153353583428e-05,1.679564155728481
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,-0.8053134290247885,1.8345334418910988
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,-0.0738348278950913,1.6349900123683145
Rg w/no norm,pH regr out,All,-1,GPR,90/10,-0.255509052407771,1.8908966014000481
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-2096.4154518483983,1760.1408786837535
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,-0.0053681935183536,0.26939114746836823
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,-0.335562618490957,0.2803679116952931
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.0674151705986196,0.21196818969244827
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.0688761676922162,0.20625946865005593
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-1817.063628025419,6627.706857825464
Rg norm w/0.427,pH regr out,All,-1,Ridge,85/15,0.0915494525081476,0.30059234082328307
Rg norm w/0.427,pH regr out,All,-1,Lasso,85/15,-0.1977858639268046,0.30562021124860694
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,85/15,0.1094369002455739,0.23530149579549126
Rg norm w/0.427,pH regr out,All,-1,GPR,85/15,0.1092175766287629,0.2260312185660799
Rg norm w/0.427,pH regr out,All,-1,Linear,90/10,-20498756781.78261,11724.684673651896
Rg norm w/0.427,pH regr out,All,-1,Ridge,90/10,0.2256326909653294,0.20581622030286523
Rg norm w/0.427,pH regr out,All,-1,Lasso,90/10,-0.26219988860349,0.2227984176602112
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,90/10,0.227555193335246,0.19655573015517838
Rg norm w/0.427,pH regr out,All,-1,GPR,90/10,0.2070763599303237,0.1996590928777049
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-2013.7114127648624,1249.2856746954744
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.0998530229138329,0.18935616450454748
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,-0.1747396571290722,0.1997326191389588
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,0.0891116178586084,0.1508159036187292
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,0.0908965378291287,0.14668811293675366
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-1746.331170097655,4703.88296277794
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,0.1729027983852669,0.20827491032717244
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,-0.0938177199806598,0.22193407897444395
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.1214476019965461,0.16785585473346
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,0.1214968807897468,0.161350526740617
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-20328379860.282845,8321.311116036368
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,0.2965824759257697,0.14578953591609983
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.1303081924924993,0.15739661691088314
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.2459666947705633,0.14345548781852094
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,0.2303202381857266,0.1439499205463542
