Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,80/20,-7.9338763930261,3.2993409678648726
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,80/20,-1.272530517945273,1.6741729883688725
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,80/20,-0.7165917818947394,1.4462412503468187
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,80/20,-0.15373664084127658,1.1928856418395228
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,80/20,-0.3081779038923167,1.2702197854665962
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,80/20,-0.6174603910810774,1.403860831552687
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,80/20,-0.275306611351003,1.254159505571459
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,80/20,-0.46105140690392643,1.334258500647376
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,80/20,-7.175481504932716,3.1754270407353125
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,85/15,-6.9519094055482356,3.263913881971887
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,85/15,-1.4227135535478599,1.7949798392733092
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,85/15,-0.7188083153267864,1.517458080667796
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,85/15,-0.24434895466704876,1.2864106718457105
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,85/15,-0.7997003013351658,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,85/15,-0.40723182017234794,1.3680165895899195
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,85/15,-0.5925788535965124,1.460674515077085
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,85/15,-0.4187824809724241,1.3736195054735179
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,85/15,-0.556418653305458,1.4439966748334117
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,85/15,-7.0857756368269715,3.2792111636534584
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,90/10,-4.098787513178574,2.637155238597273
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,90/10,-0.7529918079302209,1.7119215495281463
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,90/10,-0.5388453952206149,1.44877096475096
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,90/10,0.03808390065617551,1.2681263078814313
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,90/10,-0.4671998797006094,1.4146430825861063
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,90/10,-0.9947022737620745,1.649458070853487
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,90/10,0.015102272031367714,1.2831856179113004
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,90/10,-0.5428869400376819,1.450672206209291
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,90/10,-5.421263322516552,3.2764546066871545
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,80/20,-49.48941575382645,7.843454880511342
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,-2.209736521490965,1.9896659166694786
