Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,-0.1500527926004407,3.813881102239618
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.7012199644013155,0.7436571584423901
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.06661030953677594,3.4358940327725156
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5899488287041521,0.8711962630464567
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.057764574315928074,3.452136626691476
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.6854787038377004,0.7629955479200787
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-0.15587015928196069,3.823514902820454
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.6674889874747408,0.7845127246865574
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.21316305880682584,3.917128783295729
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.9112091989104298,1.8808366939316932
Rg w/no norm,No regr out,All,1,Linear,85/15,-1.613054719918798,2.6425961628214183
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.739705571867266,0.7353195883237735
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.23005121702051634,1.4344567758162625
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.6696748839541722,0.8283511845980253
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.3922725542379232,1.2744152886978186
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.7157009375581649,0.7684779544390636
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-0.9538459035109157,2.285081541579359
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.7359250725660167,0.7406402057674996
Rg w/no norm,No regr out,All,1,GPR,85/15,-1.0842121932353512,2.3600842900486447
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.8071135127655067,1.9374763779655777
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.2921768536143259,2.0569709918769092
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7129770180838302,0.7953481110684083
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.3099479914172155,1.5031700035969362
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.6970313415442191,0.8171424452666324
