Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,0.1888013163963698,2.128691961228657
Rg w/no norm,No regr out,All,-1,Ridge,80/20,-0.2546784998088123,1.2364411716549
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.2419546248447123,1.2955966402832848
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,-0.1272259744251533,1.1719598237779865
Rg w/no norm,No regr out,All,-1,GPR,80/20,0.8082773703230499,1.0348702210455292
Rg w/no norm,No regr out,All,-1,Linear,85/15,-1.2358771574237637,2.0176726781582333
Rg w/no norm,No regr out,All,-1,Ridge,85/15,-0.1124178408163605,1.2207787257704314
Rg w/no norm,No regr out,All,-1,Lasso,85/15,-0.3291670360348269,1.3344206703988928
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.0598101890503988,1.122304617623373
Rg w/no norm,No regr out,All,-1,GPR,85/15,0.2865163733591299,1.1397740088522843
Rg w/no norm,No regr out,All,-1,Linear,90/10,-1433266579.0550969,68506.3258076118
Rg w/no norm,No regr out,All,-1,Ridge,90/10,0.6925373479350372,0.6918770060774214
Rg w/no norm,No regr out,All,-1,Lasso,90/10,0.1242528480725768,1.167675262807357
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,0.7684100660054772,0.6004717115704944
Rg w/no norm,No regr out,All,-1,GPR,90/10,-4.933345020390911,2.844801972584577
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-844159.547559898,117.8069259409958
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,-0.0965695436609215,0.1104634778626888
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,-0.3479551896095301,0.1224724343638299
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,-0.1205663933248333,0.0951906319722857
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.332610909007218,0.148016448686925
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-1336088.7720204445,107.75383302053766
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,-0.0308411338391558,0.0976146734050369
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,-0.0547402230526199,0.095738730035393
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,0.0368531521114061,0.0822835591658868
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-1.5583358396496605,0.1491055076099303
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-14498144128.330542,9243.258209371645
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,-0.3913761184826345,0.0872142001055825
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-0.6667594908160908,0.0954555969450392
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,0.3107667872295276,0.0753302834331311
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-9.6285283929999,0.332242022613999
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-802946.4765474937,121.06398986987465
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,-0.0906321159425853,0.1155280333482682
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.3431734293442672,0.1282077519716084
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,-0.1195871431214348,0.0995795735427949
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.2989097758895749,0.1539787914627403
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-1287425.360415585,110.73219891595411
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,-0.025139239816623,0.1025125326985656
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,-0.0579352967797524,0.1003788646365738
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,0.0437424721279285,0.0863043159068868
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-1.5440810530887514,0.1556604198166461
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-14194317289.26463,9643.336965272094
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,-0.4035131125987048,0.0917025476026415
Rg norm w/0.5,No regr out,All,-1,Lasso,90/10,-0.695365249150639,0.1007870659023875
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,90/10,0.3191932605884009,0.0784433915085737
Rg norm w/0.5,No regr out,All,-1,GPR,90/10,-9.554867998746165,0.347251265563209
Rg norm w/0.418,No regr out,All,-1,Linear,80/20,-1152457.8737520347,92.98737212456032
Rg norm w/0.418,No regr out,All,-1,Ridge,80/20,-0.1167070994770784,0.0775209113307246
Rg norm w/0.418,No regr out,All,-1,Lasso,80/20,-0.8223001385062514,0.0857078302697006
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,80/20,-0.1114371233249376,0.066934958139893
Rg norm w/0.418,No regr out,All,-1,GPR,80/20,-0.5398764903327051,0.1074865690781464
Rg norm w/0.418,No regr out,All,-1,Linear,85/15,-1637938.7561108528,85.05613428021108
Rg norm w/0.418,No regr out,All,-1,Ridge,85/15,-0.266672274905622,0.0662885699004133
Rg norm w/0.418,No regr out,All,-1,Lasso,85/15,-0.2423341844270579,0.0656486402407811
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,85/15,0.0766223872143767,0.056597361814118
Rg norm w/0.418,No regr out,All,-1,GPR,85/15,-1.505395655113542,0.1051949371309434
Rg norm w/0.418,No regr out,All,-1,Linear,90/10,-14274964614.54171,6551.369192201751
Rg norm w/0.418,No regr out,All,-1,Ridge,90/10,-0.1715606233818094,0.0587946262415758
Rg norm w/0.418,No regr out,All,-1,Lasso,90/10,-0.0759036526148091,0.0511144688641789
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,90/10,-0.0359821425578212,0.0552880643446569
Rg norm w/0.418,No regr out,All,-1,GPR,90/10,-9.970948390342318,0.2326520641833099
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-109.71304814803736,24.86852585007576
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,-0.2545261043315283,1.2364378054850294
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,0.2419353322365057,1.295579226470363
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,-0.0352584983902135,1.1231993061100891
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.8389601843547504,0.9484561794776484
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-352.7052328884185,25.37866302242516
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,-0.112254194624257,1.2207654137636876
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,-0.3290134084710014,1.3344271568414778
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.5613211616530679,0.8937608747663033
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.6377596983185518,0.8121689465644785
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-1434830250.0916278,68546.53353292665
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,0.6925042758292912,0.691970224222658
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,0.1240959024255906,1.167874417973372
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.3001114327829408,0.8338735465989265
Rg w/no norm,pH regr out,All,-1,GPR,90/10,0.1949887220269653,0.8943072045092194
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-833494.5557701851,117.0645425847761
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,-0.0966920410576166,0.1104524100710964
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,-0.3481239641595524,0.1224609897453413
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.2417778765410775,0.0783012043244945
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.0178532932017244,0.0891165567701266
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-1321711.0660072558,107.17687689986906
Rg norm w/0.427,pH regr out,All,-1,Ridge,85/15,-0.0309641573155932,0.0975970175824713
Rg norm w/0.427,pH regr out,All,-1,Lasso,85/15,-0.0547723741865247,0.0957441049584943
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,85/15,0.3703651127639984,0.0739736523905152
