Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,-1,Linear,80/20,0.18880131639636988,2.1286919612286566
Rg w/no norm,No regr out,All,-1,Ridge,80/20,0.64036212496887,1.4173656811921382
Rg w/no norm,No regr out,All,-1,Lasso,80/20,0.4396453314115124,1.7692153502518697
Rg w/no norm,No regr out,All,-1,Kernel Ridge,80/20,0.696531209403171,1.3019857123768446
Rg w/no norm,No regr out,All,-1,GPR,80/20,0.8082773703230499,1.0348702210455292
Rg w/no norm,No regr out,All,-1,Linear,85/15,-1.2358771574237637,2.0176726781582333
Rg w/no norm,No regr out,All,-1,Ridge,85/15,-0.13633429737921543,1.4384004196428737
Rg w/no norm,No regr out,All,-1,Lasso,85/15,-0.5420723295311027,1.675633814163651
Rg w/no norm,No regr out,All,-1,Kernel Ridge,85/15,0.007239895654577833,1.3444631449007087
Rg w/no norm,No regr out,All,-1,GPR,85/15,0.28651637335912994,1.1397740088522843
Rg w/no norm,No regr out,All,-1,Linear,90/10,-7123149404.696611,84128.18259892597
Rg w/no norm,No regr out,All,-1,Ridge,90/10,-1.4571382092266898,1.5625008883704494
Rg w/no norm,No regr out,All,-1,Lasso,90/10,-2.1265931288903497,1.7625488592238048
Rg w/no norm,No regr out,All,-1,Kernel Ridge,90/10,-1.162962419359277,1.4659864870456187
Rg w/no norm,No regr out,All,-1,GPR,90/10,-11.460478382547436,3.518623818964877
Rg norm w/0.427,No regr out,All,-1,Linear,80/20,-844159.547559898,117.8069259409958
Rg norm w/0.427,No regr out,All,-1,Ridge,80/20,0.1073874755153228,0.12114061835055537
Rg norm w/0.427,No regr out,All,-1,Lasso,80/20,-0.010800702345965085,0.12891132299869731
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,80/20,0.1238590390747848,0.12001769741101638
Rg norm w/0.427,No regr out,All,-1,GPR,80/20,-0.332610909007218,0.14801644868692507
Rg norm w/0.427,No regr out,All,-1,Linear,85/15,-1336088.7720204445,107.75383302053766
Rg norm w/0.427,No regr out,All,-1,Ridge,85/15,-0.4431121046409785,0.11198631211528533
Rg norm w/0.427,No regr out,All,-1,Lasso,85/15,-0.05474022305261994,0.09573873003539304
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,85/15,-0.2351172683382221,0.10360220648663329
Rg norm w/0.427,No regr out,All,-1,GPR,85/15,-1.5583358396496605,0.14910550760993033
Rg norm w/0.427,No regr out,All,-1,Linear,90/10,-26197365668.847046,11280.703457127142
Rg norm w/0.427,No regr out,All,-1,Ridge,90/10,-1.1066134988038345,0.1011578995645764
Rg norm w/0.427,No regr out,All,-1,Lasso,90/10,-2.5587046430857883,0.13147807722884203
Rg norm w/0.427,No regr out,All,-1,Kernel Ridge,90/10,-0.5337536368771765,0.0863147813061057
Rg norm w/0.427,No regr out,All,-1,GPR,90/10,-32.10159918410331,0.4009884464013449
Rg norm w/0.5,No regr out,All,-1,Linear,80/20,-802946.4765474937,121.06398986987463
Rg norm w/0.5,No regr out,All,-1,Ridge,80/20,0.11871382378780715,0.1268323072355057
Rg norm w/0.5,No regr out,All,-1,Lasso,80/20,-0.010908862230308847,0.13583991960388148
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,80/20,0.1328855874299203,0.1258083934001275
Rg norm w/0.5,No regr out,All,-1,GPR,80/20,-0.2989097758895749,0.1539787914627403
Rg norm w/0.5,No regr out,All,-1,Linear,85/15,-1287425.360415585,110.73219891595413
Rg norm w/0.5,No regr out,All,-1,Ridge,85/15,-0.44813868442849714,0.11744047609090774
Rg norm w/0.5,No regr out,All,-1,Lasso,85/15,-0.0579352967797524,0.10037886463657388
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,85/15,-0.23879979356144454,0.10862087270407586
Rg norm w/0.5,No regr out,All,-1,GPR,85/15,-1.5440810530887514,0.1556604198166461
Rg norm w/0.5,No regr out,All,-1,Linear,90/10,-26000632154.033848,11770.100430868117
Rg norm w/0.5,No regr out,All,-1,Ridge,90/10,-1.1230971416492257,0.10635873120444807
Rg norm w/0.5,No regr out,All,-1,Lasso,90/10,-2.864741717022037,0.14349886053714397
Rg norm w/0.5,No regr out,All,-1,Kernel Ridge,90/10,-0.5471750562953115,0.09079416575068651
Rg norm w/0.5,No regr out,All,-1,GPR,90/10,-32.01183786121898,0.4193948244080041
Rg norm w/0.418,No regr out,All,-1,Linear,80/20,-1152457.8737520347,92.98737212456032
Rg norm w/0.418,No regr out,All,-1,Ridge,80/20,0.048835591369816855,0.08447711075841598
Rg norm w/0.418,No regr out,All,-1,Lasso,80/20,-0.00935635643071464,0.08702289311701286
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,80/20,0.07996226691110642,0.08308336465082153
Rg norm w/0.418,No regr out,All,-1,GPR,80/20,-0.5398764903327051,0.1074865690781464
Rg norm w/0.418,No regr out,All,-1,Linear,85/15,-1637938.7561108528,85.05613428021108
Rg norm w/0.418,No regr out,All,-1,Ridge,85/15,-0.3345413768239591,0.07677550825318057
Rg norm w/0.418,No regr out,All,-1,Lasso,85/15,-0.03112999922116466,0.06748595368423072
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,85/15,-0.15110745741909115,0.07130411799346846
Rg norm w/0.418,No regr out,All,-1,GPR,85/15,-1.5053956551135421,0.1051949371309434
Rg norm w/0.418,No regr out,All,-1,Linear,90/10,-26286729037.51552,7989.607336148593
Rg norm w/0.418,No regr out,All,-1,Ridge,90/10,-0.8923812029337941,0.06778935069964467
Rg norm w/0.418,No regr out,All,-1,Lasso,90/10,-0.07590365261480914,0.05111446886417896
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,90/10,-0.3732793285561411,0.05774795412739793
Rg norm w/0.418,No regr out,All,-1,GPR,90/10,-31.045260908415848,0.27895815843648475
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-109.71304814803737,24.86852585007576
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,0.6403280855074576,1.4174374446384526
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,0.4396291220638855,1.7692467915297128
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,0.6828753411892277,1.3309619643446342
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.8389601843547504,0.9484561794776484
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-352.70523288841855,25.378663022425158
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,-0.13638357809711854,1.4385020040234824
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,-0.541892577764912,1.6756181489506958
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.5613211616530679,0.8937608747663033
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.6377596983185518,0.8121689465644785
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-7134627932.970464,84192.11352145697
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,-1.4575297447434723,1.5625543727153002
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,-2.1267891589128447,1.7625240259421389
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.30011143278294083,0.8338735465989265
Rg w/no norm,pH regr out,All,-1,GPR,90/10,0.19498872202696538,0.8943072045092194
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-833494.5557701851,117.0645425847761
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,0.107338244847617,0.12114826322102772
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,-0.010819059428436084,0.1289170738394069
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.513002413619257,0.08948229881563234
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.5080514020807196,0.089936004947169
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-1321711.0660072558,107.17687689986906
Rg norm w/0.427,pH regr out,All,-1,Ridge,85/15,-0.44315455338525056,0.11199253941273894
Rg norm w/0.427,pH regr out,All,-1,Lasso,85/15,-0.0547723741865247,0.0957441049584943
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,85/15,0.3703651127639984,0.07397365239051523
Rg norm w/0.427,pH regr out,All,-1,GPR,85/15,0.35947265106675663,0.07461076779853837
Rg norm w/0.427,pH regr out,All,-1,Linear,90/10,-26254204769.511078,11291.941160667584
Rg norm w/0.427,pH regr out,All,-1,Ridge,90/10,-1.106882180812037,0.10115545255799044
Rg norm w/0.427,pH regr out,All,-1,Lasso,90/10,-2.5588921246196246,0.13146997623278858
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,90/10,0.33342682621480046,0.056897487375527044
Rg norm w/0.427,pH regr out,All,-1,GPR,90/10,0.2509062765634059,0.060316655382089364
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-1138950.935590857,92.44452145398505
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.04877931703228411,0.08448296017049695
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,-0.009375079900793448,0.08702715160823767
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,0.387478768854726,0.06779365571803787
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,0.3805406816261502,0.06817652721306228
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-1621632.5086585744,84.63315534254919
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,-0.3346379823607346,0.07677961286463669
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,-0.031157825812501372,0.06748802966356324
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.2808928700724258,0.0563587010892803
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,0.2685501259189311,0.05684031324217764
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-26346048186.511642,7998.062952118644
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,-0.8925017942934528,0.06778681473979802
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.07602877001435493,0.051113899986333
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.33261953210227846,0.04025444314325385
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,0.22955965583329607,0.043251043053265284
Rg norm w/0.418,pH regr out,All,-1,Linear,80/20,-792687.3942061611,120.2922781852942
Rg norm w/0.418,pH regr out,All,-1,Ridge,80/20,0.11866530318787827,0.1268402046564319
Rg norm w/0.418,pH regr out,All,-1,Lasso,80/20,-0.010927044795993268,0.13584586004906493
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,80/20,0.5283562968029212,0.09278836462155152
Rg norm w/0.418,pH regr out,All,-1,GPR,80/20,0.523629642724889,0.09325215238059725
Rg norm w/0.418,pH regr out,All,-1,Linear,85/15,-1273412.2500591637,110.13269537452446
Rg norm w/0.418,pH regr out,All,-1,Ridge,85/15,-0.44817467881567263,0.11744703594747151
Rg norm w/0.418,pH regr out,All,-1,Lasso,85/15,-0.05796759490023651,0.10038475625674313
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,85/15,0.38169512051846477,0.07674196635692122
Rg norm w/0.418,pH regr out,All,-1,GPR,85/15,0.37111316713839637,0.07739587899658783
Rg norm w/0.418,pH regr out,All,-1,Linear,90/10,-26056752317.6619,11781.742001779503
Rg norm w/0.418,pH regr out,All,-1,Ridge,90/10,-1.123381209453175,0.1063563319310905
Rg norm w/0.418,pH regr out,All,-1,Lasso,90/10,-2.864984995789088,0.14349054066558728
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,90/10,0.33365133510387224,0.05957994964136967
Rg norm w/0.418,pH regr out,All,-1,GPR,90/10,0.25302437571964054,0.06308158265366803
Rg w/no norm,buffer regr out,All,-1,Linear,80/20,-1715213.8287305436,2798.7699581122065
Rg w/no norm,buffer regr out,All,-1,Ridge,80/20,0.4519112597927687,1.5820980027805631
Rg w/no norm,buffer regr out,All,-1,Lasso,80/20,0.37699249565289195,1.6867650010229487
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,80/20,0.44585786318353204,1.590810796350285
Rg w/no norm,buffer regr out,All,-1,GPR,80/20,0.10388209931167491,2.022975013259979
Rg w/no norm,buffer regr out,All,-1,Linear,85/15,-4927119.349990056,2846.7528166501643
Rg w/no norm,buffer regr out,All,-1,Ridge,85/15,-0.17779325613302643,1.391834846387973
Rg w/no norm,buffer regr out,All,-1,Lasso,85/15,-0.375373433022377,1.504054209063655
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,85/15,0.528084559124812,0.8810189859029686
Rg w/no norm,buffer regr out,All,-1,GPR,85/15,0.48357869559609157,0.9216271264155051
Rg w/no norm,buffer regr out,All,-1,Linear,90/10,-6447808228.568698,73426.98878219964
Rg w/no norm,buffer regr out,All,-1,Ridge,90/10,-1.910143689241464,1.5599363515441436
Rg w/no norm,buffer regr out,All,-1,Lasso,90/10,-1.6010856178644586,1.4747791398533847
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,90/10,0.09871272997270997,0.868123036293901
Rg w/no norm,buffer regr out,All,-1,GPR,90/10,-0.037316275354718265,0.9313335716037765
Rg norm w/0.427,buffer regr out,All,-1,Linear,80/20,-8926324.731480945,396.3408115842484
Rg norm w/0.427,buffer regr out,All,-1,Ridge,80/20,0.0730457626858082,0.12772078408362836
Rg norm w/0.427,buffer regr out,All,-1,Lasso,80/20,0.00023201199389699667,0.1326422995468418
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,80/20,0.2750016691347882,0.112953822443923
Rg norm w/0.427,buffer regr out,All,-1,GPR,80/20,0.26350569574397253,0.11384582936570611
Rg norm w/0.427,buffer regr out,All,-1,Linear,85/15,-14137881.587391546,407.9891192404556
Rg norm w/0.427,buffer regr out,All,-1,Ridge,85/15,-0.016484577490259333,0.10939734762403527
Rg norm w/0.427,buffer regr out,All,-1,Lasso,85/15,-0.011037796490004803,0.10910385386157084
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,85/15,0.17613168534887857,0.09848844847739295
Rg norm w/0.427,buffer regr out,All,-1,GPR,85/15,0.27073809745453037,0.09266125088884174
Rg norm w/0.427,buffer regr out,All,-1,Linear,90/10,-3521799775.6626234,4992.313265989601
Rg norm w/0.427,buffer regr out,All,-1,Ridge,90/10,-0.6673607379039055,0.10862612416084053
Rg norm w/0.427,buffer regr out,All,-1,Lasso,90/10,-1.7768887166866367,0.14018409313500213
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,90/10,-0.1493010390208962,0.0901854337210729
Rg norm w/0.427,buffer regr out,All,-1,GPR,90/10,-0.2239320665530493,0.09306752298559559
Rg norm w/0.5,buffer regr out,All,-1,Linear,80/20,-17718157.45241485,390.5148675273594
Rg norm w/0.5,buffer regr out,All,-1,Ridge,80/20,0.0652947956284079,0.0896944585620646
Rg norm w/0.5,buffer regr out,All,-1,Lasso,80/20,-0.15386085347394762,0.09965635578835397
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,80/20,0.18742343348165103,0.08362967885964268
Rg norm w/0.5,buffer regr out,All,-1,GPR,80/20,0.15009847127180542,0.08552884108911786
Rg norm w/0.5,buffer regr out,All,-1,Linear,85/15,-26031388.677844957,401.59646388515597
Rg norm w/0.5,buffer regr out,All,-1,Ridge,85/15,0.051458729807302483,0.07666008900103838
Rg norm w/0.5,buffer regr out,All,-1,Lasso,85/15,-0.006498004989013317,0.07896736790921315
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,85/15,0.12273265742864659,0.07372371043366799
Rg norm w/0.5,buffer regr out,All,-1,GPR,85/15,0.18406539157449486,0.07109988211041623
Rg norm w/0.5,buffer regr out,All,-1,Linear,90/10,-7220595950.134779,5231.088603325283
Rg norm w/0.5,buffer regr out,All,-1,Ridge,90/10,-0.4012821696818245,0.07287328586018062
Rg norm w/0.5,buffer regr out,All,-1,Lasso,90/10,-0.9338954745615289,0.08560951820237253
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,90/10,-0.150127442652777,0.06602045869521665
Rg norm w/0.5,buffer regr out,All,-1,GPR,90/10,-0.2344348014357991,0.06839740625012963
Rg norm w/0.418,buffer regr out,All,-1,Linear,80/20,-8047009.216551948,394.53687957066455
Rg norm w/0.418,buffer regr out,All,-1,Ridge,80/20,0.07714787149093416,0.13360920754481564
Rg norm w/0.418,buffer regr out,All,-1,Lasso,80/20,0.010304607339394867,0.13836336109683794
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,80/20,0.28673019168931235,0.11746196172604546
Rg norm w/0.418,buffer regr out,All,-1,GPR,80/20,0.27941494783327236,0.1180627659202874
Rg norm w/0.418,buffer regr out,All,-1,Linear,85/15,-12880735.264748184,406.168436267166
Rg norm w/0.418,buffer regr out,All,-1,Ridge,85/15,-0.023771394473393936,0.11450839362183692
Rg norm w/0.418,buffer regr out,All,-1,Lasso,85/15,-0.008466433040952293,0.11364924384383185
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,85/15,0.18335778776181388,0.10227082029018658
Rg norm w/0.418,buffer regr out,All,-1,GPR,85/15,0.2816474260689823,0.09591900234763276
Rg norm w/0.418,buffer regr out,All,-1,Linear,90/10,-3133914902.574331,4903.138918119399
Rg norm w/0.418,buffer regr out,All,-1,Ridge,90/10,-0.7002971216004252,0.11420707479190473
Rg norm w/0.418,buffer regr out,All,-1,Lasso,90/10,-1.8691773506817473,0.14835742784827585
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,90/10,-0.14750744011776384,0.0938227921285943
Rg norm w/0.418,buffer regr out,All,-1,GPR,90/10,-0.22140868698287708,0.0967968223366533
Rg w/no norm,expr pH only regr out,All,-1,Linear,80/20,0.1788414467731363,2.4735129243528875
Rg w/no norm,expr pH only regr out,All,-1,Ridge,80/20,0.475030995458956,1.977732292051165
Rg w/no norm,expr pH only regr out,All,-1,Lasso,80/20,0.33144087807946454,2.231878676217178
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.41547156262077745,2.0869089219052652
Rg w/no norm,expr pH only regr out,All,-1,GPR,80/20,0.4718871707785871,1.9836453674663106
Rg w/no norm,expr pH only regr out,All,-1,Linear,85/15,-0.2819171104141154,2.2999139731547795
Rg w/no norm,expr pH only regr out,All,-1,Ridge,85/15,0.161853671758875,1.8596942275764903
Rg w/no norm,expr pH only regr out,All,-1,Lasso,85/15,0.18005117312847696,1.8393949680297994
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.1382657783628144,1.8856812804135537
Rg w/no norm,expr pH only regr out,All,-1,GPR,85/15,0.08384047105318326,1.9443174376316312
Rg w/no norm,expr pH only regr out,All,-1,Linear,90/10,-54618194419.2131,439504.7129920115
Rg w/no norm,expr pH only regr out,All,-1,Ridge,90/10,-0.03175743460992719,1.9102212434976003
Rg w/no norm,expr pH only regr out,All,-1,Lasso,90/10,0.07177685100869291,1.8118450949056844
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.013291138487247833,1.868053806667184
Rg w/no norm,expr pH only regr out,All,-1,GPR,90/10,0.041661619839828856,1.8410022010589184
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,80/20,-261429.63290852477,117.04468949160514
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,80/20,0.1365455457347864,0.2127125891037644
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,80/20,0.13907908830004367,0.21240028988618337
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.14313433285790333,0.2118994588558608
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,80/20,-0.1789385598310591,0.24855303064772555
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,85/15,-271723.44437705877,107.18030531336072
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,85/15,0.17599673631609136,0.18664445887738404
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,85/15,0.24173542859955433,0.17904451357353646
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.16341832605128814,0.18806362737034757
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,85/15,-0.31082431853957937,0.2354089011278832
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,90/10,-74407161441.76527,50743.03041303523
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,90/10,0.06978582005431688,0.17941572704562614
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,90/10,0.20261633992827688,0.1661126465289611
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.03447519008675548,0.18278929191132468
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,90/10,-0.08285897032207279,0.1935775463957068
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,80/20,-175048.15591303274,92.41605296283524
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,80/20,0.21840102373470194,0.19528073300394855
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,80/20,0.19565094686464124,0.19810237539940737
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.14358611434994917,0.20441335003838368
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,80/20,-0.12930867570135507,0.23473277764931427
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,85/15,-171585.55197580694,84.63518314010476
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,85/15,0.32137738815205497,0.16831525441186185
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,85/15,0.31415777362994324,0.169208207559118
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.18899549219486633,0.18400132431791444
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,85/15,-0.1757515504289655,0.22154762296983002
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,90/10,-77743371271.81076,52053.01004215559
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,90/10,0.2773247058163898,0.15870323062028008
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,90/10,0.2926419510079896,0.15701234988265445
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.06276850425724212,0.18073305965124994
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,90/10,-0.1318083679802442,0.19860977244371397
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,80/20,-420082.37657640886,120.28792014373862
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,80/20,0.024620811787559593,0.183290944879732
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,80/20,0.0072650177447841635,0.18491448429002033
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.16543287510511462,0.16954496781062825
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,80/20,-0.006065086261174635,0.18615182853997694
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,85/15,-478688.5079084256,110.13799766209436
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,85/15,-0.07030550559857485,0.16468881402046545
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,85/15,0.0163848195577061,0.1578784426307031
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.14315634871809968,0.1473536893616023
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,85/15,-0.2665779746945611,0.17915386755992557
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,90/10,-68411473670.282906,36403.945605728506
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,90/10,0.041166187314681135,0.13628738362888893
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,90/10,-0.15784343497243603,0.14976450749493414
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,90/10,-0.025224924758803002,0.14092679068334296
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,90/10,-0.013146265362676601,0.14009416847436393
Rg w/no norm,expr buffer only regr out,All,-1,Linear,80/20,-2586550.849978974,3926.8017250559806
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,80/20,0.37723879346861455,1.9268111661418972
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,80/20,0.2957280349568274,2.0490312369109165
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.4279668726830802,1.8466686177262903
Rg w/no norm,expr buffer only regr out,All,-1,GPR,80/20,-0.13321411026865992,2.599168083949586
Rg w/no norm,expr buffer only regr out,All,-1,Linear,85/15,-4832422.546713838,3994.446321793842
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,85/15,0.13219518961071075,1.6927199785962215
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,85/15,0.12876610291390256,1.6960610299253718
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.1853019194285569,1.6401079737583213
Rg w/no norm,expr buffer only regr out,All,-1,GPR,85/15,-0.12244417588269219,1.9251140733747738
Rg w/no norm,expr buffer only regr out,All,-1,Linear,90/10,-29644410627.229298,301212.108354144
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,90/10,-0.06460773952674881,1.8050773856961633
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,90/10,-0.026412665788134726,1.772401125121756
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,90/10,-0.017684038007663272,1.7648487724337065
Rg w/no norm,expr buffer only regr out,All,-1,GPR,90/10,-0.14848199343794133,1.8748352527533747
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,80/20,-2563608.1934324577,351.0949694789896
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,80/20,0.12298444051949486,0.2053536119047378
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,80/20,0.08933550685971448,0.20925598998662262
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.16483121095700837,0.20039451243904827
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,80/20,-0.21712418899781039,0.24191686372048377
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,85/15,-3416958.208888924,361.48690419890846
