Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.6990428053898825,0.9230733932439728
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.6300854112752632,0.7098940032370147
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.630120998877356,1.0233252873697682
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.6301848261842744,0.7097986044716791
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.6126021094636735,1.0472792379075893
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.6311255388141003,0.7088952590657419
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.6012630744436115,1.0624954918134821
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.7237804157887419,0.6134370623339301
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.4497829646050786,2.0259809816264855
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.46470243550641377,1.4125943982181957
Rg w/no norm,No regr out,All,1,Linear,85/15,0.7024703110133173,0.931743934102153
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.6916033492766676,0.6925518148157761
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.705904921858957,0.9263504101041046
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.6939618747703313,0.6898985174354064
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.6045152439314103,1.0742275693722487
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.6927949572033203,0.6912125510118814
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.633562785758344,1.0340253984926553
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.7604601700494716,0.6103603504427647
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.463876885987734,2.0667297767070867
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.41126601098815185,1.4815007862084717
Rg w/no norm,No regr out,All,1,Linear,90/10,0.6609852608027449,1.0790568996904757
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5268853843980965,0.7666388081532634
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.6163737933399001,1.147860707195872
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5319693061803243,0.7625086686306232
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.6770324825512304,1.0532087984915217
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.529454560621401,0.7645544174356447
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.6725086398563132,1.0605593556039152
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.6651893428171939,0.6449220923758328
Rg w/no norm,No regr out,All,1,GPR,90/10,-0.16824063399202016,2.003093445519541
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-0.606435007590626,1.4126650399024046
Rg norm w/0.421,No regr out,All,1,Linear,80/20,0.18361612285298778,0.09641530071067879
Rg norm w/0.421,No regr out,Inliers,1,Linear,80/20,-0.06804198182523469,0.07693764615980923
Rg norm w/0.421,No regr out,All,1,Ridge,80/20,0.06308431126359193,0.10328779500408163
Rg norm w/0.421,No regr out,Inliers,1,Ridge,80/20,-0.0637657340805764,0.07678346944156114
Rg norm w/0.421,No regr out,All,1,Lasso,80/20,-0.042600936140200885,0.10895766956510711
Rg norm w/0.421,No regr out,Inliers,1,Lasso,80/20,-0.05097139772165327,0.07632031984388435
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,80/20,0.09513244845596092,0.10150589337736073
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,80/20,0.1571078765114955,0.06834877435322048
Rg norm w/0.421,No regr out,All,1,GPR,80/20,-4.244719718528991,0.2443767544029708
Rg norm w/0.421,No regr out,Inliers,1,GPR,80/20,-4.822038912839569,0.17963141263702725
Rg norm w/0.421,No regr out,All,1,Linear,85/15,0.24349278940352848,0.09668866888196403
Rg norm w/0.421,No regr out,Inliers,1,Linear,85/15,-0.22458034787276793,0.07663680158115968
Rg norm w/0.421,No regr out,All,1,Ridge,85/15,0.08402065137914083,0.10639271375407124
Rg norm w/0.421,No regr out,Inliers,1,Ridge,85/15,-0.1918495601628214,0.07560568434290835
Rg norm w/0.421,No regr out,All,1,Lasso,85/15,0.07480576072537559,0.10692653791420148
Rg norm w/0.421,No regr out,Inliers,1,Lasso,85/15,-0.19344520346343375,0.07565627770500799
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,85/15,0.11178478649553658,0.10476787836705562
