Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.48924979615304565,1.8369204557847336
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.7057935451681334,0.9583037572229509
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.41518404407178655,1.9656024407951487
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.7057641050887842,0.9583517028618821
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.40391294018675317,1.984453482778872
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.7052583179656666,0.9591750453406506
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.41041178985334237,1.9736060661919939
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.722241234506694,0.9311314144801642
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.03720050573962608,2.61768531144785
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.5610850998127652,2.20744749103726
Rg w/no norm,No regr out,All,1,Linear,85/15,0.4635980176549205,2.07384818484529
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.7604826689737294,0.8245655771718935
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.38854862514293875,2.2141790471917506
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.7589309814462464,0.8272321954433216
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.37294197789615424,2.2422582877695247
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.7235836998365703,0.8858058692039309
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.3836281671965117,2.2230701422445107
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.7827293192559233,0.7853392281263567
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.02949039571264689,2.8730482756337996
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.0031915679810015085,1.687518976610177
Rg w/no norm,No regr out,All,1,Linear,90/10,0.5034587294008386,1.098066860733585
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7846561237891374,0.6608821292684628
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.6657736377470576,0.9008893654529783
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.7831603873905452,0.6631733365166259
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.6741627064101999,0.8895113709453262
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.7816970118907451,0.6654073373954307
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.6634953429567292,0.9039546617394499
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.8122440591804807,0.617098639684286
Rg w/no norm,No regr out,All,1,GPR,90/10,-3.596981965593878,3.341084882096722
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-0.18230223401224666,1.5485384754195841
Rg norm w/0.421,No regr out,All,1,Linear,80/20,0.025443109544366793,0.13786778698622457
Rg norm w/0.421,No regr out,Inliers,1,Linear,80/20,0.355003925658245,0.09208093832385801
Rg norm w/0.421,No regr out,All,1,Ridge,80/20,0.02378801356738336,0.13798480817927075
Rg norm w/0.421,No regr out,Inliers,1,Ridge,80/20,0.35490533605199615,0.09208797548030866
