Model,Split,R2,RMSE
Linear,80/20,-0.3570455833766648,3.80345969288138
Ridge,80/20,-0.2652110237297767,3.672510818804105
Lasso,80/20,-0.036035520857629955,3.323295220985796
Kernel Ridge,80/20,-0.13577210677149942,3.4795829936812006
GPR,80/20,-0.15280409958834462,3.5055757529888916
Linear,85/15,-0.2176105239043009,4.024619638203265
Ridge,85/15,-0.144924203763918,3.902644692419817
Lasso,85/15,-0.00966044408610589,3.6648678270788615
Kernel Ridge,85/15,-0.08111577695364924,3.7923354698884664
GPR,85/15,-0.2036539547515901,4.00148754104193
Linear,90/10,-0.05328664576601283,4.475760703053944
Ridge,90/10,-0.028784193752261933,4.423394885618266
Lasso,90/10,-0.0011966317195619691,4.363683664353617
Kernel Ridge,90/10,-0.16532073874685804,4.707781605252675
GPR,90/10,-0.13080107356968607,4.637529400984676
