Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.7009247561370023,0.0194102910122865,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.6863388202204754,0.0198779777310833,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.5859331739092785,0.022838997270655,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.3666011871053628,0.0282475272619625,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.3613313381050804,0.0283647929199889,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,GPR,90/10,0.3487967718408419,0.0286417853907313,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,10,GPR,90/10,0.340153643330897,0.0288312336360515,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,GPR,90/10,0.3396820083026081,0.0288415355727152,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,GPR,90/10,0.3365278091318006,0.0289103384593542,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,10,GPR,90/10,0.2957130038335794,0.0297863061371172,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.2932614710557526,0.0298381022596005,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,GPR,90/10,0.2793906878574129,0.0301294878125544,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.6643556601392757,0.0311594959443554,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.6568336169885001,0.0315067152799,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,GPR,90/10,0.2004387541584743,0.0317371322749235,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,Kernel Ridge,90/10,0.1631109823931178,0.0324695110138648,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.625475680327795,0.0329147659757731,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,90/10,0.132463855169915,0.0330586871833349,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,90/10,0.0412434003345448,0.0347532958245729,2
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.6493636104087708,0.0350321471285819,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.5743730726827431,0.0350885407756799,2
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.6406004687575296,0.0354672091832789,2
Rg norm w/0.5,pH regr out,All,ProtBERT,high,190,GPR,90/10,0.4358053496425549,0.0359741421138206,4
