Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,low,Kernel Ridge,0.04749663098942882,0.008040882565914441,0.48613901810737925,0.10741772585601578,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,low,GPR,0.04818462786917465,0.007868777154853688,0.4708550012094685,0.1050406648180759,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,low,Kernel Ridge,0.0483156854964836,0.008047142826870102,0.4693293697736514,0.10055758993901996,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,low,GPR,0.049111978386551756,0.007571342303893797,0.44981551929751723,0.10090861013409769,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,mid,Ridge,0.04958153879714081,0.008621750939686135,0.4379597524699515,0.13196177089318106,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,mid,Ridge,0.0495822509648804,0.00862183847255795,0.43791737228219557,0.13198902922460712,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,mid,Kernel Ridge,0.049650024442250605,0.008279375652881555,0.4301075701135921,0.14220890002667497,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,low,GPR,0.04980731004786714,0.0069023423208383426,0.3988206190877001,0.23571570982198814,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,high,GPR,0.050011360427415906,0.01022536103949327,0.43326604918187717,0.14203080757365166,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,mid,Kernel Ridge,0.05033471990032875,0.008324349557003027,0.4138871931631009,0.14832418782398654,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,mid,Ridge,0.05033716459167802,0.008313423179534008,0.4163103594776218,0.1412948939857792,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,mid,Ridge,0.05033760292719472,0.008313332607912926,0.4162719051417137,0.14132312445258124,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,mid,Lasso,0.0506991550841239,0.009979520412276191,0.4121041089470123,0.16001090027670464,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,mid,Lasso,0.050700223943308746,0.009981021011306409,0.41211500845123733,0.1599907005589291,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,mid,Kernel Ridge,0.050826271036533,0.008139052860393497,0.4121830879601703,0.10979417963036919,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,high,Kernel Ridge,0.05083334392888563,0.0071064936149524355,0.40685603620141886,0.10961226126729835,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,mid,GPR,0.050844385548658826,0.010092828257126436,0.4130934640930619,0.14475218727663167,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,high,GPR,0.05103134449353705,0.010477801458449272,0.4089794568600229,0.15154398484943465,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,high,Kernel Ridge,0.05129952724940839,0.008366233609782458,0.3949635825811533,0.14553954963693008,4
