Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Lasso,85/15,0.6436527327296392,0.0290371675294993,3.0,0.9995806679825692,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Lasso,85/15,0.6436120215870632,0.0290388172779417,3.0,0.9995805554300078,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Lasso,85/15,0.6421137967636819,0.0290998005330198,3.0,0.999576404540476,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Lasso,85/15,0.6420866672241348,0.0291008945573902,3.0,0.9995763297108208,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,85/15,0.6169244067376711,0.0301064564919153,3.0,0.9995072236534024,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,85/15,0.5976728717723893,0.0308536863008914,3.0,0.9994550714327292,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,GPR,85/15,0.5970998339210565,0.0308756510626274,3.0,0.9994535281059934,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Ridge,85/15,0.5954533098787673,0.030938685661474,3.0,0.999449096144396,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Ridge,85/15,0.5954425258592597,0.0309390885540184,3.0,0.999449067441274,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.5675619174712033,0.0319874313950629,3.0,0.9993746405864664,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,85/15,0.5561534446380789,0.0324066268050804,3.0,0.9993445042706676,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Ridge,85/15,0.5551772593161421,0.0324422543370954,3.0,0.9993419334760826,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Ridge,85/15,0.5551644712276951,0.0324427107385327,3.0,0.9993419001346984,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,85/15,0.5487204457203313,0.0326768534091685,3.0,0.9993249636935048,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,85/15,0.54821302733957,0.0326952191623217,3.0,0.9993236323961528,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,GPR,85/15,0.5442991440454858,0.0328365450664801,3.0,0.9993133745817188,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,85/15,0.5408843798162944,0.0329593345974734,3.0,0.9993044416314616,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,85/15,0.5298254436707468,0.0333539363476558,3.0,0.9992756113639176,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.527826270613134,0.0334353744534725,3.0,0.9992700704798668,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Lasso,90/10,0.5220360840958154,0.0336397125140207,3.0,0.9992550494590388,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Lasso,90/10,0.5219376923958352,0.0336432182505658,3.0,0.9992547931196548,all_rows_sorted_by_rmse.csv
