Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,0.05971061850516235
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.05995244665943643
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,0.059991566147949454
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,0.0609965287071628
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Ridge,0.061023560633022896
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Ridge,0.06102409780662085
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.06126239595496414
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.06126649934681325
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,0.06131905794863241
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,0.06131969035212597
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Kernel Ridge,0.06140507937926509
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,0.06142622528508953
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,0.061746525689567594
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Ridge,0.061875922193022244
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Ridge,0.06187600659877247
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,GPR,0.06266239001822023
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Lasso,0.0627556015151531
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Lasso,0.06275689033576157
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Lasso,0.06280464431512582
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Lasso,0.06280606415295518
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,0.06291214839965516
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.06299461873488141
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.06313966681582368
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.06325656967052808
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Lasso,0.0636163951838736
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Lasso,0.06361781881595961
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Kernel Ridge,0.06371249586235804
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Ridge,0.06392865661404905
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Ridge,0.06392927727091882
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Lasso,0.06403863966957984
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Lasso,0.06403977380951398
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Kernel Ridge,0.06430570835753448
Rg norm w/0.5,pH regr out,All,ProtBERT,190,GPR,0.0646142162616038
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,0.06524196791291116
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Ridge,0.0654708782814495
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,Ridge,0.06547175188397536
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,0.065599257376537
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Lasso,0.06579930764294961
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,Lasso,0.06580046845101853
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Kernel Ridge,0.06603329497668192
Rg norm w/0.5,pH regr out,All,ProtBERT,10,GPR,0.0661303911047187
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,0.06614437170031437
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,Kernel Ridge,0.06642976201192378
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Linear,0.06669828838906121
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Linear,0.06669873579381741
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Linear,0.06696980955720942
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,Linear,0.06697074241294551
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,GPR,0.06699887695171518
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,0.0683932826296865
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,0.06898264794579376
Rg norm w/0.406,No regr out,All,ProtBERT,10,Kernel Ridge,0.06930719853044548
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,0.06958243924964512
Rg norm w/0.406,No regr out,All,ProtBERT,20,Kernel Ridge,0.07007430869582489
Rg norm w/0.406,No regr out,All,ProtBERT,50,Kernel Ridge,0.07027694833508537
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,0.07029333380000878
Rg norm w/0.406,No regr out,All,ProtBERT,100,Kernel Ridge,0.07038545639595112
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,Kernel Ridge,0.07039669722212617
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,Kernel Ridge,0.07057100006807619
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,Kernel Ridge,0.07066639045175321
Rg norm w/0.406,No regr out,All,ProtBERT,190,Kernel Ridge,0.07105023062958823
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,Ridge,0.0713159614685144
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Ridge,0.07140781431604938
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,Kernel Ridge,0.07159616574836575
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,GPR,0.07166202317573381
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,GPR,0.07205436363354377
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Kernel Ridge,0.07230711526013514
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Ridge,0.07260325408404757
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,GPR,0.07282228125064406
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.07356762382069543
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Lasso,0.07389222725785659
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Lasso,0.07398682208146612
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,GPR,0.07404414295482065
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,0.07438639094238228
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Ridge,0.07458884253556218
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Ridge,0.07464121917919546
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,GPR,0.0749356028950268
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,GPR,0.07502820902661296
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Lasso,0.07547923166293163
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,Lasso,0.07560175604206992
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Lasso,0.07568928739413422
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Linear,0.07591893623882133
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Kernel Ridge,0.07652002184834049
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Lasso,0.07757534129185964
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Lasso,0.07757535263402147
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Lasso,0.07757538569232565
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Lasso,0.07757538569813158
Rg norm w/0.406,No regr out,All,ProtBERT,50,Lasso,0.07757822609765952
Rg norm w/0.406,No regr out,All,ProtBERT,20,Lasso,0.07757822629951179
Rg norm w/0.406,No regr out,All,ProtBERT,190,Lasso,0.07757827049159373
Rg norm w/0.406,No regr out,All,ProtBERT,100,Lasso,0.07757827049740297
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Lasso,0.07761500595486565
