Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,0.07443191004986904,4.061710936236992
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.0857940874437495,4.0367033816740925
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.07833105482658087,4.053146513079703
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.39444974702365,3.285336967913629
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,0.8496632228819109,1.6369576485569912
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,0.04506648536087288,4.656960361132045
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,0.062473881517076446,4.614319489886665
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,0.05076302986429049,4.643049306970775
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.14955117390876205,4.394809619859382
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,0.8799210828851621,1.6513888761673743
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,0.06928694971875671,5.437982412348201
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,0.0686438348420303,5.439860887918205
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,0.06703407558503172,5.44455999560944
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.1710175766260199,5.132188014481986
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,0.9281990316377197,1.5104106792973748
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.38457253058109153,1.0730733989891554
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.42009394707444314,1.0416451869363936
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.39509538450023673,1.0638599007778344
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.594868712869228,0.8706405338534958
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.4374396307339815,1.0259484923938884
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.4667135092753003,1.0326076269933053
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.47249083137000225,1.0269990541655574
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.46672043662808593,1.0326009202224833
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.6302969360412192,0.8597685649559971
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.5169695119343459,0.9827483179152632
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.45633160276440643,1.0539712011591953
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.46258601997645454,1.0478911676419622
