Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,80/20,-0.133255259831776,1.5841127286871821
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,80/20,-0.06086631105514728,1.532683707941882
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,80/20,0.08257951844382627,1.4253004678925012
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,0.02789345094271345,1.4671656360297525
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,80/20,-2.0526801753745483,2.5999372425309955
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,85/15,-0.08903619805991059,1.608756378716516
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,85/15,-0.06100449604153968,1.5879167737274278
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,85/15,0.06821958200913825,1.4880787461916698
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,-0.08783792715443894,1.607871074569083
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,85/15,-1.0241557862178725,2.1932649148436596
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,90/10,0.0501745134699747,1.2024605071293448
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,90/10,0.06889238085343785,1.190553325416448
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,90/10,0.11485086235985376,1.160799299875636
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,-0.2723619562547117,1.3917276313062448
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,90/10,-1.5388342917977331,1.965921127587311
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,80/20,0.16620523612138494,1.5375307375418295
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,80/20,0.14747165629366377,1.5547073021327769
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,80/20,0.15140735704796882,1.5511144943194957
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,0.25672968682431585,1.4516690529413485
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,80/20,-0.060341248611861076,1.7338720792385358
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,85/15,0.20906662607959914,1.360504449196973
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,85/15,0.17516005218961117,1.3893602159892273
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,85/15,0.19932352819474286,1.3688584749449961
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,85/15,0.3341412867470842,1.2483060039599503
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,85/15,-0.13978196163205636,1.6332057696286
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,90/10,0.2930349136320627,1.2618119059387563
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,90/10,0.28906731882318415,1.26534769150705
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,90/10,0.28890914583105465,1.265488445128776
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.06420260005584577,1.4517323502721051
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,90/10,0.11423845025048074,1.412388099393033
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,80/20,0.02102066053577345,1.4723429296231836
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,80/20,0.12721285333468213,1.3901971148036387
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,80/20,0.2668185083043326,1.274171710399107
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,80/20,-0.0542753411128003,1.5279151469318029
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,80/20,-2.57183132459966,2.8123390860168964
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,85/15,0.011100906807849809,1.5330104438079295
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,85/15,0.08898042327917888,1.4714075461137244
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,85/15,0.25184881951206195,1.333410304464719
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,85/15,-0.22973692206908214,1.709524111439094
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,85/15,-2.3215360037719788,2.8095619098162627
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,90/10,-0.11693765924447819,1.3039573276885985
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,90/10,0.04550070801616679,1.2054153498081537
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,90/10,0.23341439937905117,1.080262352003637
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,-0.4846594897115064,1.5033577524540656
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,90/10,-2.7712983265155477,2.396041613272997
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,80/20,0.3105098655066364,1.3981644427784057
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,80/20,0.28099885570953,1.42777250957743
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,80/20,0.31562149739507217,1.3929720570844542
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.36387666232758364,1.3429656033955573
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,80/20,0.32224143571567354,1.3862186326190566
