Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.026009631801996225,1.5072938626491283
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.048130837030220364,1.451813534102313
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.1850113443167538,1.3433772636693873
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.018550136555885555,1.5018045562478044
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,-2.65873414098668,2.8463456518342385
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,0.06085326771349653,1.4939492689232308
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,0.0830593099186252,1.4761814612668733
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,0.20085375081956236,1.378104836628506
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.1369103475438811,1.6437366318567923
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-1.365434955432169,2.370962196028769
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.01932227230993311,1.2456747721444452
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,0.0679010089602764,1.1911869616786974
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,0.1559900094425809,1.133503083535984
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.3013307112087462,1.4074816834950339
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-1.4691930878182413,1.9387706585731428
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.25634066483461115,1.4520488994781304
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.2243888626907179,1.4829149492390372
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.23660543213207408,1.4711899775979544
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.29650682247509386,1.4122909299644066
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.025628466954210616,1.7052547118339951
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.2461110755294259,1.3282618443271774
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.229878734849435,1.342485406988501
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.24914394501158266,1.3255873756983167
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.3541138056001585,1.2294419187024455
