Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.4849139033326862,0.035364456738195,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.7167219097525239,0.0354333797976761,1
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,90/10,0.463994565877367,0.0360754430561882,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,90/10,0.4518652877064196,0.0364813356411483,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.699363418174869,0.0365028689132116,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.4480852811280881,0.036606909481319,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.697489334071101,0.0366164664761515,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,GPR,90/10,0.4454214784569266,0.0366951443129874,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,90/10,0.6954689582620883,0.0367385380613396,1
Rg norm w/0.418,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.4310368093316217,0.0371705721980791,1
Rg norm w/0.418,No regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.4252222927580257,0.0373600216503165,1
Rg norm w/0.418,No regr out,All,ProtBERT,190,Kernel Ridge,90/10,0.4213050476057757,0.0374871141404392,1
Rg norm w/0.418,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.4209985890409723,0.0374970388223462,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,90/10,0.4201073956795305,0.0375232858842485,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,90/10,0.4133934936221698,0.0377398800096154,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,90/10,0.6771385241561297,0.0378280714071004,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,GPR,90/10,0.6704109713493936,0.0382224074077597,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Ridge,90/10,0.3732381593398544,0.0390102156264551,1
Rg norm w/0.418,No regr out,All,ProtBERT,20,Ridge,90/10,0.3733087807030536,0.0390107200310475,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,GPR,90/10,0.6500029135234965,0.039385675725753,1
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Kernel Ridge,90/10,0.342814094123012,0.0399458068426687,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,GPR,90/10,0.6250568677346628,0.0407675268218297,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.3132315643107983,0.0408349699607348,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,90/10,0.6180593090120601,0.0411437669239543,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.5862922413083841,0.0428206168510174,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.5750240109222995,0.0433998554481106,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.5746324045038507,0.0434224041481101,1
Rg norm w/0.418,No regr out,All,ProtBERT,20,Linear,90/10,0.2223406143787147,0.0434562123382246,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Linear,90/10,0.2221489058792456,0.0434585578775445,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,90/10,0.5711690785001771,0.0435962498623132,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.4201663915579177,0.0440867957869848,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.4144947734882998,0.04430035628036,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.5919557417396375,0.0444558464514048,1
