Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,0.05438325818456367
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,0.05499604308410724
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.05565858716162537
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.05572837334132241
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.055820497281631666
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,0.0560305449162187
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,GPR,0.056695072660938796
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.05675448679625028
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.056847492411634774
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,0.057220100063342626
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,0.057288708707616424
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,0.05728875935841508
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Ridge,0.05783139730664568
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Ridge,0.0578314613569706
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Ridge,0.05813934440926164
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Ridge,0.05813954318765457
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,0.058178788351744413
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.05832050076340701
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Lasso,0.05901891620294564
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Lasso,0.05901913609650803
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Lasso,0.059402850620091346
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Lasso,0.059403057751673365
