Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,80/20,-0.1202086809361016,3.7640703200024133
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,80/20,-0.09575455319821202,3.722758837905343
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,80/20,-0.03971853139259096,3.6263202377213872
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,-0.06373560262573852,3.667964374479727
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,80/20,-0.27560783802890954,4.01667645844573
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,85/15,-0.41186635315391795,1.9424656253355472
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,85/15,-0.3373808652737511,1.8905322943605025
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,85/15,-0.08911776481596201,1.7060586963301454
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,0.12031060402860083,1.5332791367644234
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,85/15,-0.9518718684491096,2.2839269031786538
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,90/10,0.023157669841665784,1.788460793139834
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,90/10,0.026239156617866466,1.785637680729032
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,90/10,0.0692292236884473,1.7457761579892843
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,0.2317490822148116,1.586056785758883
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,90/10,-0.7245141126804258,2.3762961526926922
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,80/20,0.21484311301134784,1.205522159109736
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,80/20,0.22553854132065676,1.1972831772969783
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,80/20,0.21950791323104746,1.2019356799664263
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,0.39328218274581395,1.059718094557018
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,80/20,-1.0413092878523722,1.9437991204354164
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,85/15,0.2788079105874982,1.2239655006852013
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,85/15,0.27302289156524806,1.2288646954662186
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,85/15,0.2807337477627666,1.2223301985149602
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,85/15,0.48349720020553877,1.03580985701425
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,85/15,-0.6744413469073067,1.8649992834065205
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,90/10,0.2592583706483583,1.2777100011015436
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,90/10,0.24981852487238965,1.285825652294539
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,90/10,0.26231019553935864,1.2750752283195725
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.38762860836941193,1.1617331032949938
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,90/10,-0.867970492884194,2.029008768079003
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,80/20,-0.3782143596337204,4.175097737459231
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,80/20,-0.15858234993561338,3.827998116266934
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,80/20,-0.03971961071463581,3.626322119945393
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,80/20,-0.13448016496091708,3.7879716058621153
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,80/20,-0.25878563575253977,3.990103403514973
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,85/15,-1.1451613822183528,2.394343925087612
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,85/15,-0.4706770667686795,1.9825091844504785
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,85/15,-0.2996190024758718,1.863650946617959
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,85/15,-0.24812725229609867,1.8263582922842425
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,85/15,-1.0727465659467228,2.353583712775488
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,90/10,0.13212815605873307,1.685757062911682
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,90/10,0.16009856049251225,1.6583696888873036
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,90/10,0.26293308096816803,1.5535335915845139
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.06528890024232281,1.7494675382767138
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,90/10,-0.8816754887942264,2.482215895076341
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,80/20,0.429817017006916,1.027316116443406
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,80/20,0.40818216585268907,1.046624747919178
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,80/20,0.4299400776176,1.0272052494283639
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.5195804771823637,0.9429904602780821
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,80/20,-0.08817764986775778,1.4192106983317387
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,85/15,0.44570072387198734,1.0730398608342107
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,85/15,0.43984569179527633,1.0786922035473732
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,85/15,0.4453579256869583,1.073371612362198
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.6072351542201095,0.9032542304853378
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,85/15,0.1617220111506733,1.3195860961066466
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.37806112206710407,1.1707731954934135
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.3766768978981655,1.172075342601569
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,90/10,0.37581597583887527,1.1728844874327669
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.5076731827321493,1.0416592247821457
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,90/10,0.06604410034882469,1.434703318526854
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,80/20,-0.4659863522107355,4.305992062721215
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,80/20,-0.12977416504739825,3.7801068941209444
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,80/20,-0.03971770505735517,3.6263187966790795
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,-0.0965352093997347,3.7240847175602165
