Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.418,pH regr out,All,ProtBERT,high,20,GPR,90/10,0.9338960973301668,0.1743940826308763,3
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9336515275347692,0.174716394520934,3
Rg norm w/0.427,pH regr out,All,ProtBERT,high,20,GPR,90/10,0.9336430042151468,0.1669421722803137,3
Rg norm w/0.418,pH regr out,All,ProtBERT,high,50,GPR,90/10,0.9335093588678076,0.1749034817599298,3
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9334035980082748,0.1672430524504985,3
Rg norm w/0.427,pH regr out,All,ProtBERT,high,50,GPR,90/10,0.9332737709309415,0.1674059899692958,3
Rg norm w/0.418,pH regr out,All,ProtBERT,low,190,GPR,90/10,0.9332486566346204,0.1752460346293692,3
Rg norm w/0.427,pH regr out,All,ProtBERT,low,190,GPR,90/10,0.9332149303906436,0.1674797847007965,3
Rg norm w/0.418,pH regr out,All,ProtBERT,high,100,GPR,90/10,0.9330243525818542,0.1755402266804567,3
Rg norm w/0.418,pH regr out,All,ProtBERT,low,100,GPR,90/10,0.9329061539070082,0.175695055164749,3
